,predicted_at,prediction,volatility,MAE,alpha,var_score,train_samples,test_samples,potential
MVP,Oct24,8.58,3.11,2.2,41.24,0.49,477.0,119.0,173.02
DNA,Oct24,10.94,7.24,5.42,33.6,0.41,258.0,64.0,149.44
CCV,Oct24,11.43,2.89,2.22,30.38,0.39,650.0,162.0,135.01
AYS,Oct24,6.85,4.51,3.2,41.1,0.45,164.0,41.0,126.57
RUL,Oct24,6.16,2.27,1.69,34.84,0.53,417.0,104.0,113.65
PPS,Oct24,4.33,4.68,3.2,46.11,0.5,485.0,121.0,99.68
WSA,Oct24,5.81,3.54,2.6,36.1,0.4,674.0,168.0,83.13
MLX,Oct24,5.56,4.45,3.37,31.88,0.42,500.0,125.0,74.6
ZIM,Oct24,2.91,3.58,2.4,48.99,0.51,375.0,93.0,73.3
JBH,Oct24,4.62,1.94,1.42,36.71,0.41,634.0,158.0,70.2
NCZ,Oct24,10.19,7.92,6.54,21.05,0.3,81.0,20.0,64.17
MOC,Oct24,2.31,3.01,1.97,52.71,0.52,587.0,146.0,63.2
CL1,Oct24,6.17,2.97,2.43,22.32,0.44,146.0,36.0,60.48
ASG,Oct24,2.05,3.24,2.06,57.19,0.51,108.0,27.0,59.78
VRL,Oct24,2.45,2.8,1.9,47.09,0.5,667.0,166.0,57.44
MOE,Oct24,4.41,2.95,2.3,27.89,0.46,92.0,23.0,56.78
RBL,Oct24,6.83,4.69,3.79,23.96,0.33,129.0,32.0,54.8
IMD,Oct24,2.98,2.68,1.94,38.48,0.45,619.0,154.0,51.39
BIN,Oct24,3.42,3.58,2.63,36.32,0.4,90.0,22.0,49.91
SAR,Oct24,5.1,3.23,2.48,30.59,0.29,512.0,128.0,44.75
WHC,Oct24,3.37,2.64,1.99,32.25,0.41,497.0,124.0,44.45
ASL,Oct24,3.03,3.76,2.85,32.12,0.45,672.0,167.0,43.38
OZL,Oct24,3.4,2.3,1.76,30.32,0.4,443.0,110.0,41.05
AHY,Oct24,2.93,2.99,2.24,33.38,0.42,206.0,51.0,40.95
BLX,Oct24,4.54,3.04,2.41,26.19,0.34,215.0,53.0,40.4
AVJ,Oct24,3.74,1.87,1.46,28.15,0.37,646.0,161.0,38.91
LIC,Oct24,3.12,1.55,1.2,29.14,0.43,344.0,85.0,38.84
ABA,Oct24,1.9,1.37,0.95,44.51,0.43,176.0,43.0,36.33
FMG,Oct24,2.62,3.0,2.26,32.92,0.42,635.0,158.0,36.27
MAH,Oct24,3.3,3.11,2.37,30.96,0.35,676.0,169.0,35.47
AFG,Oct24,2.41,3.8,2.86,32.99,0.44,170.0,42.0,35.39
MIN,Oct24,2.09,3.29,2.38,38.21,0.43,532.0,133.0,34.11
GTN,Oct24,3.33,3.11,2.36,31.82,0.32,123.0,30.0,33.99
ISU,Oct24,2.87,2.31,1.81,27.78,0.42,248.0,61.0,33.22
SGM,Oct24,2.08,3.13,2.22,40.73,0.39,564.0,140.0,33.22
CAT,Oct24,1.49,5.37,3.58,50.05,0.44,186.0,46.0,32.57
CYB,Oct24,2.35,4.35,3.16,37.66,0.36,141.0,35.0,32.06
BKL,Oct24,1.31,2.96,2.02,46.99,0.52,652.0,163.0,31.94
AMI,Oct24,3.26,4.04,3.17,27.75,0.35,204.0,51.0,31.45
AMP,Oct24,2.86,1.89,1.44,31.23,0.35,672.0,167.0,31.42
ECX,Oct24,1.42,6.77,4.67,44.95,0.48,174.0,43.0,30.51
SLK,Oct24,2.96,1.67,1.33,25.47,0.4,235.0,58.0,30.49
TNE,Oct24,1.37,2.07,1.44,44.3,0.5,677.0,169.0,30.27
MRM,Oct24,3.28,3.38,2.72,24.27,0.37,644.0,160.0,29.75
MWY,Oct24,1.42,2.24,1.63,37.26,0.56,106.0,26.0,29.72
IPD,Oct24,4.07,6.2,4.99,24.28,0.3,417.0,104.0,29.64
VRT,Oct24,1.15,2.11,1.42,48.86,0.52,249.0,62.0,29.46
BXB,Oct24,1.45,1.45,1.03,41.0,0.49,519.0,129.0,29.14
IFL,Oct24,2.64,2.54,1.81,40.27,0.27,628.0,157.0,28.81
WPP,Oct24,1.68,4.22,2.93,43.69,0.39,128.0,31.0,28.33
SGR,Oct24,1.55,2.31,1.64,40.56,0.43,150.0,37.0,27.16
OMN,Oct24,1.86,4.05,2.6,55.36,0.25,45.0,11.0,26.29
STO,Oct24,1.69,2.7,1.92,40.61,0.38,677.0,169.0,26.27
SGP,Oct24,1.0,1.49,0.98,52.42,0.49,525.0,131.0,25.73
FWD,Oct24,2.4,2.49,1.94,27.88,0.38,677.0,169.0,25.15
WEB,Oct24,1.09,2.89,1.95,48.02,0.48,614.0,153.0,24.98
NWS,Oct24,2.31,1.7,1.32,29.22,0.36,583.0,145.0,24.45
BBN,Oct24,4.55,3.17,2.65,19.53,0.27,154.0,38.0,24.18
BLD,Oct24,0.92,2.06,1.34,53.55,0.48,677.0,169.0,23.82
IFM,Oct24,1.14,2.35,1.68,39.62,0.51,672.0,167.0,23.17
GOR,Oct24,2.26,2.93,2.31,27.25,0.38,352.0,88.0,23.12
CKF,Oct24,1.93,1.79,1.36,31.54,0.37,325.0,81.0,22.76
ILU,Oct24,1.58,2.69,2.03,32.53,0.44,672.0,167.0,22.75
PNR,Oct24,1.97,4.13,3.15,31.19,0.37,385.0,96.0,22.51
KGN,Oct24,0.62,4.73,2.92,61.78,0.57,124.0,30.0,21.78
ING,Oct24,2.59,2.57,2.01,27.81,0.3,109.0,27.0,21.63
AMA,Oct24,1.15,2.42,1.72,40.46,0.45,465.0,116.0,21.08
LVH,Oct24,2.08,4.66,3.63,28.42,0.35,126.0,31.0,20.92
ARF,Oct24,1.16,1.55,1.08,43.21,0.41,236.0,59.0,20.68
S32,Oct24,1.41,2.45,1.84,33.09,0.44,171.0,42.0,20.28
NMT,Oct24,0.89,2.33,1.63,42.6,0.48,186.0,46.0,18.28
RIO,Oct24,1.59,2.0,1.56,28.41,0.4,677.0,169.0,17.95
MLD,Oct24,1.36,2.44,1.8,35.15,0.37,352.0,87.0,17.64
INA,Oct24,1.41,1.61,1.21,33.82,0.37,283.0,70.0,17.46
CWP,Oct24,1.21,1.88,1.37,37.11,0.38,517.0,129.0,16.98
KAR,Oct24,1.24,2.75,2.04,34.64,0.39,592.0,148.0,16.76
VCX,Oct24,1.78,1.37,1.1,25.11,0.37,152.0,37.0,16.69
BFG,Oct24,0.88,2.37,1.7,39.21,0.47,448.0,112.0,16.38
SYD,Oct24,0.98,1.42,1.07,32.88,0.47,304.0,75.0,15.24
BSL,Oct24,1.1,2.79,2.1,32.64,0.43,670.0,167.0,15.22
NCK,Oct24,0.77,2.2,1.54,43.07,0.45,465.0,116.0,14.94
WAF,Oct24,1.33,3.01,2.37,26.83,0.4,358.0,89.0,14.3
ISD,Oct24,1.01,6.2,4.61,34.65,0.39,209.0,52.0,13.8
AGY,Oct24,1.28,6.17,4.73,30.44,0.34,414.0,103.0,13.43
DWS,Oct24,1.12,1.9,1.45,30.74,0.39,538.0,134.0,13.4
CWY,Oct24,1.16,1.9,1.5,26.46,0.44,141.0,35.0,13.4
ENN,Oct24,1.18,1.75,1.4,24.39,0.46,204.0,51.0,13.24
CAJ,Oct24,1.81,2.75,2.27,20.95,0.34,368.0,91.0,12.73
FRI,Oct24,1.44,1.24,1.0,24.92,0.35,508.0,126.0,12.65
PPC,Oct24,2.5,1.44,1.25,15.49,0.33,597.0,149.0,12.64
VOC,Oct24,1.19,2.93,2.2,33.07,0.31,370.0,92.0,12.39
CQR,Oct24,0.49,1.27,0.84,51.65,0.49,377.0,94.0,12.27
HT1,Oct24,0.8,2.29,1.74,31.67,0.47,89.0,22.0,11.9
GPT,Oct24,0.73,1.25,0.92,36.45,0.45,512.0,128.0,11.84
SVW,Oct24,0.48,2.8,1.87,49.49,0.5,377.0,94.0,11.71
SHV,Oct24,0.48,2.81,1.83,53.61,0.45,671.0,167.0,11.56
SGF,Oct24,0.97,3.19,2.45,30.36,0.39,220.0,54.0,11.55
CII,Oct24,0.29,1.92,1.12,71.04,0.56,147.0,36.0,11.33
BHP,Oct24,1.03,1.87,1.45,29.05,0.37,677.0,169.0,11.1
SWM,Oct24,0.47,3.52,2.45,43.28,0.54,336.0,83.0,11.05
URF,Oct24,0.69,2.61,1.93,35.46,0.45,272.0,68.0,10.9
MNF,Oct24,0.47,2.85,1.93,47.81,0.44,348.0,86.0,9.83
IPL,Oct24,0.57,1.88,1.32,42.02,0.4,636.0,159.0,9.6
CLH,Oct24,0.68,1.83,1.34,36.07,0.39,613.0,153.0,9.58
TBR,Oct24,3.47,3.39,2.89,17.14,0.16,444.0,110.0,9.33
SLR,Oct24,1.0,3.63,2.89,25.49,0.36,479.0,119.0,9.14
CWN,Oct24,0.56,1.43,1.07,33.03,0.47,476.0,119.0,8.67
NHF,Oct24,0.33,2.27,1.48,53.09,0.5,480.0,119.0,8.67
MAQ,Oct24,0.44,1.56,1.07,45.94,0.42,526.0,131.0,8.48
BLA,Oct24,0.34,8.44,5.46,54.63,0.45,258.0,64.0,8.31
HAS,Oct24,1.61,3.53,2.98,18.54,0.28,332.0,82.0,8.25
AOG,Oct24,0.67,2.25,1.75,29.01,0.42,228.0,57.0,8.21
FLT,Oct24,0.37,2.29,1.56,46.46,0.48,672.0,167.0,8.21
CTX,Oct24,0.37,1.62,1.11,46.29,0.47,677.0,169.0,8.17
SRV,Oct24,0.67,2.34,1.76,32.95,0.37,564.0,140.0,8.15
IDX,Oct24,0.38,2.67,1.79,48.78,0.43,153.0,38.0,7.91
ASX,Oct24,0.37,1.19,0.84,42.08,0.48,677.0,169.0,7.42
SCG,Oct24,0.45,1.38,1.04,32.79,0.49,207.0,51.0,7.26
FLN,Oct24,0.83,3.64,2.91,25.2,0.34,231.0,57.0,7.19
MVF,Oct24,0.28,2.83,1.91,47.76,0.54,207.0,51.0,7.19
PPT,Oct24,0.32,1.97,1.36,44.67,0.49,677.0,169.0,6.94
HUO,Oct24,0.63,1.21,0.94,28.62,0.38,193.0,48.0,6.77
GCY,Oct24,0.24,5.31,3.54,49.81,0.55,340.0,85.0,6.51
HVN,Oct24,0.32,1.95,1.37,42.73,0.47,677.0,169.0,6.51
JHG,Oct24,1.27,3.07,2.52,21.51,0.24,85.0,21.0,6.45
MPL,Oct24,0.28,2.13,1.47,44.6,0.5,189.0,47.0,6.35
KMD,Oct24,1.05,2.56,2.12,20.88,0.28,396.0,99.0,6.22
URW,Oct24,1.39,2.04,1.59,27.75,0.16,45.0,11.0,5.99
EHE,Oct24,1.09,1.89,1.58,19.24,0.28,188.0,46.0,5.95
ALX,Oct24,0.15,1.92,1.17,64.6,0.59,45.0,11.0,5.9
GNG,Oct24,0.42,2.04,1.54,32.27,0.4,332.0,83.0,5.43
DMP,Oct24,0.31,2.42,1.78,35.77,0.47,568.0,142.0,5.21
RWC,Oct24,0.22,3.33,2.24,49.21,0.48,131.0,32.0,5.16
EOS,Oct24,0.48,3.11,2.38,30.95,0.33,583.0,145.0,4.94
ORA,Oct24,0.81,1.94,1.63,19.13,0.31,228.0,56.0,4.81
SKC,Oct24,0.35,1.34,1.02,31.51,0.43,604.0,151.0,4.7
SCP,Oct24,0.39,1.34,1.02,31.71,0.37,271.0,67.0,4.6
AGL,Oct24,0.2,1.39,0.94,48.37,0.47,189.0,47.0,4.6
NWH,Oct24,0.24,4.01,2.91,37.87,0.49,482.0,120.0,4.5
CBA,Oct24,0.25,1.29,0.93,39.54,0.44,677.0,169.0,4.41
GDI,Oct24,0.64,1.35,1.09,24.26,0.28,228.0,56.0,4.33
OSH,Oct24,0.18,1.97,1.37,43.91,0.52,677.0,169.0,4.16
BWX,Oct24,0.28,6.5,4.72,37.72,0.38,151.0,37.0,3.96
AZJ,Oct24,0.39,1.36,1.08,26.04,0.35,270.0,67.0,3.65
CSR,Oct24,0.29,2.18,1.67,30.77,0.38,670.0,167.0,3.49
FPH,Oct24,0.18,1.85,1.32,40.0,0.46,604.0,151.0,3.38
CMW,Oct24,0.17,1.14,0.8,42.02,0.47,598.0,149.0,3.32
DXS,Oct24,0.29,1.23,0.94,30.52,0.38,460.0,114.0,3.31
CGF,Oct24,0.25,2.21,1.67,31.89,0.38,621.0,155.0,3.03
LLC,Oct24,0.19,1.99,1.41,41.66,0.38,670.0,167.0,3.02
ORI,Oct24,0.13,1.74,1.2,44.57,0.5,672.0,167.0,2.88
APA,Oct24,0.25,1.72,1.32,30.52,0.36,521.0,130.0,2.71
AWC,Oct24,0.25,2.11,1.65,27.63,0.37,664.0,166.0,2.59
QUB,Oct24,0.13,1.47,1.03,42.27,0.48,367.0,91.0,2.58
TGP,Oct24,1.46,1.23,1.08,13.83,0.12,464.0,116.0,2.45
ARB,Oct24,0.16,1.97,1.47,33.78,0.41,176.0,43.0,2.18
BRL,Oct24,1.16,2.69,2.47,9.03,0.21,248.0,61.0,2.16
RHC,Oct24,0.14,1.54,1.14,35.24,0.43,677.0,169.0,2.15
IGO,Oct24,0.21,3.01,2.4,25.3,0.35,676.0,169.0,1.85
NAB,Oct24,0.12,1.31,0.99,31.99,0.44,677.0,169.0,1.72
PNC,Oct24,0.13,3.33,2.54,31.36,0.4,208.0,51.0,1.67
LEP,Oct24,0.4,0.98,0.85,15.67,0.25,525.0,131.0,1.59
AKP,Oct24,0.09,3.55,2.6,36.41,0.46,342.0,85.0,1.46
AUB,Oct24,0.7,1.54,1.43,7.56,0.26,553.0,138.0,1.37
CCP,Oct24,0.09,2.01,1.44,39.42,0.33,622.0,155.0,1.14
NZM,Oct24,-1.0,3.16,2.77,14.2,-0.07,124.0,31.0,0.98
GOW,Oct24,1.23,0.83,0.78,5.71,0.13,484.0,120.0,0.94
API,Oct24,0.06,2.37,1.81,30.85,0.36,663.0,165.0,0.65
MRN,Oct24,0.06,2.07,1.71,20.86,0.37,249.0,62.0,0.48
REX,Oct24,0.05,1.95,1.6,21.47,0.4,541.0,135.0,0.46
FSA,Oct24,0.05,1.37,1.11,23.59,0.35,528.0,131.0,0.38
PNI,Oct24,0.09,2.96,2.71,9.32,0.37,117.0,29.0,0.31
GDF,Oct24,0.03,0.95,0.72,32.16,0.31,166.0,41.0,0.31
IGL,Oct24,0.04,0.97,0.79,22.01,0.31,147.0,36.0,0.3
HRR,Oct24,0.01,2.85,2.39,19.38,0.28,592.0,148.0,0.03
TZN,Oct24,0.03,3.72,3.56,4.65,0.19,584.0,145.0,0.03
WBA,Oct24,0.01,2.1,1.84,14.35,0.24,553.0,138.0,0.03
EVT,Oct24,-0.15,1.25,1.32,-5.82,-0.05,146.0,36.0,0.0
NEW,Oct24,-0.98,0.98,1.01,-3.36,-0.17,65.0,16.0,0.0
PFP,Oct24,-1.09,0.9,1.15,-22.13,-0.37,67.0,16.0,0.0
PSI,Oct24,0.64,1.27,1.29,-2.09,0.06,147.0,36.0,0.0
AOF,Oct24,1.07,0.64,0.73,-12.14,-0.32,125.0,31.0,-0.0
QIP,Oct24,0.43,1.97,1.99,-0.96,-0.05,117.0,29.0,-0.0
CEN,Oct24,-3.36,2.35,2.39,-1.69,-0.07,128.0,31.0,0.0
CIP,Oct24,0.27,1.07,1.07,-0.36,-0.05,100.0,25.0,-0.0
ERF,Oct24,0.26,0.66,0.78,-15.19,0.06,109.0,27.0,0.0
NEU,Oct24,-0.0,4.48,3.49,28.33,0.36,520.0,130.0,-0.0
TTM,Oct24,1.04,3.96,3.95,0.2,-0.02,56.0,14.0,-0.0
PEA,Oct24,-0.0,2.0,1.53,30.62,0.34,423.0,105.0,-0.02
HPI,Oct24,-0.15,1.08,1.05,3.26,0.11,228.0,57.0,-0.05
CDP,Oct24,-0.01,0.66,0.55,19.65,0.34,443.0,110.0,-0.07
DFM,Oct24,-0.01,1.4,1.15,21.51,0.41,139.0,34.0,-0.07
MYS,Oct24,-0.25,1.05,0.97,7.91,0.08,404.0,101.0,-0.15
JLG,Oct24,0.49,2.0,1.95,2.85,-0.12,70.0,17.0,-0.17
TCL,Oct24,-0.01,1.35,0.93,44.59,0.52,672.0,167.0,-0.17
AGG,Oct24,-0.03,3.6,2.97,20.94,0.32,611.0,152.0,-0.18
ARQ,Oct24,-0.01,6.49,4.23,53.58,0.32,44.0,11.0,-0.24
WPL,Oct24,-0.02,1.71,1.27,34.0,0.46,677.0,169.0,-0.25
FDM,Oct24,-0.03,10.15,7.09,43.13,0.27,101.0,25.0,-0.39
NBL,Oct24,-0.04,2.72,2.11,28.95,0.37,515.0,128.0,-0.41
RMS,Oct24,-0.04,4.03,3.17,27.45,0.39,588.0,146.0,-0.42
CMA,Oct24,-0.54,0.8,0.72,10.73,0.07,188.0,46.0,-0.43
HTA,Oct24,-0.06,3.27,2.76,18.59,0.42,667.0,166.0,-0.46
MHJ,Oct24,-1.06,2.9,2.74,5.9,0.08,124.0,30.0,-0.51
AST,Oct24,-0.03,1.13,0.82,38.24,0.5,195.0,48.0,-0.57
QMS,Oct24,-0.3,1.92,1.73,11.25,0.18,166.0,41.0,-0.61
DCN,Oct24,-0.05,6.35,4.91,29.37,0.46,272.0,68.0,-0.66
CNI,Oct24,-0.11,1.24,1.0,23.41,0.28,336.0,83.0,-0.75
NSR,Oct24,-0.05,1.36,1.01,35.67,0.41,228.0,56.0,-0.75
ANN,Oct24,-0.04,1.63,1.14,43.56,0.46,677.0,169.0,-0.76
CVC,Oct24,-0.44,1.61,1.49,7.74,0.23,424.0,106.0,-0.79
RKN,Oct24,-0.12,2.7,2.18,23.93,0.29,652.0,162.0,-0.85
ALL,Oct24,-0.04,2.02,1.42,42.17,0.48,672.0,167.0,-0.88
UOS,Oct24,-0.15,1.32,1.06,24.53,0.3,411.0,102.0,-1.09
HLO,Oct24,-0.05,2.38,1.62,47.36,0.45,215.0,53.0,-1.12
ONT,Oct24,-0.42,1.06,0.93,12.98,0.22,425.0,106.0,-1.22
SDG,Oct24,-0.16,1.23,1.02,21.04,0.36,656.0,164.0,-1.22
EWC,Oct24,-0.11,5.16,3.98,29.74,0.39,644.0,161.0,-1.23
IVC,Oct24,-0.06,1.88,1.28,46.45,0.45,629.0,157.0,-1.35
SPK,Oct24,-0.13,1.44,1.16,24.36,0.42,201.0,50.0,-1.37
IAG,Oct24,-0.09,1.58,1.11,42.74,0.47,672.0,167.0,-1.76
RIC,Oct24,-0.14,1.79,1.37,30.67,0.44,677.0,169.0,-1.92
BLY,Oct24,-1.17,8.66,7.86,10.26,0.18,497.0,124.0,-2.1
DCG,Oct24,-0.1,2.73,1.88,44.87,0.45,413.0,103.0,-2.11
LOV,Oct24,-0.1,3.83,2.7,42.17,0.51,187.0,46.0,-2.21
AVN,Oct24,-0.16,0.99,0.75,31.5,0.45,148.0,36.0,-2.29
PMV,Oct24,-0.12,2.06,1.38,49.05,0.42,506.0,126.0,-2.37
AQZ,Oct24,-0.22,2.49,1.92,29.65,0.37,304.0,76.0,-2.45
